model,IFEval,BBH,MATH,GPQA,MUSR,MMLU_PRO
tanliboy/lambda-qwen2.5-32b-dpo-test,0.8083839767372794,0.6763904009446838,0.6102719033232629,0.3565436241610738,0.42742708333333335,0.565658245
tannedbum/Ellaria-9B,0.7825802204816554,0.5942102115140485,0.20770392749244712,0.33305369127516776,0.4151458333333333,0.42054521276595747
tannedbum/L3-Nymeria-Maid-8B,0.7250029920610646,0.5146055785516804,0.093655589,0.2961409395973154,0.37505208333333334,0.37466755319148937
tannedbum/L3-Nymeria-v2-8B,0.7168346653545925,0.5224198261531375,0.092145015,0.2902684563758389,0.369875,0.37533244680851063
tannedbum/L3-Rhaenys-8B,0.7362686560548235,0.5299209893116719,0.087613293,0.2978187919463087,0.3724791666666667,0.3799035904255319
teknium/CollectiveCognition-v1.1-Mistral-7B,0.27904626391308396,0.4493426704276236,0.030966767371601207,0.28691275167785235,0.3869270833333333,0.28366023936170215
teknium/OpenHermes-13B,0.2668065178171696,0.42064384521911524,0.012084592145015106,0.2726510067114094,0.4042604166666666,0.23894614361702127
teknium/OpenHermes-2-Mistral-7B,0.5286151854856226,0.4947516371878204,0.045317220543806644,0.2835570469798658,0.45197916666666665,0.2931349734042553
teknium/OpenHermes-2.5-Mistral-7B,0.5571417173100706,0.4870013259924984,0.05060423,0.2835570469798658,0.4241979166666667,0.3054355053191489
teknium/OpenHermes-7B,0.1812513021006485,0.362033649,0.015861027190332326,0.26929530201342283,0.4323854166666667,0.19331781914893617
tensopolis/falcon3-10b-tensopolis-v1,0.7816560060639104,0.618226655,0.27492447129909364,0.3296979865771812,0.43753125,0.4419880319148936
tensopolis/falcon3-10b-tensopolis-v2,0.7792080568447275,0.618226655,0.26661631419939574,0.3271812080536913,0.4296875,0.4424035904255319
tensopolis/lamarckvergence-14b-tensopolis-v1,0.7603735865281896,0.6561154329558933,0.5166163141993958,0.36073825503355705,0.44745833333333335,0.5250166223404256
tensopolis/mistral-small-2501-tensopolis-v1,0.7762104549262623,0.6474735931872574,0.44410876132930516,0.3573825503355705,0.42797916666666663,0.4464760638297872
tensopolis/mistral-small-r1-tensopolis,0.462220242,0.5435969591888976,0.290785498,0.28187919463087246,0.37375,0.4035073138297872
tensopolis/phi-4-tensopolis-v1,0.6766679078179231,0.6871833310149728,0.49395770392749244,0.3347315436241611,0.4140625,0.5383976063829787
tensopolis/qwen2.5-14b-tensopolis-v1,0.7990166092634211,0.6363595324538928,0.5294561933534743,0.3347315436241611,0.41933333333333334,0.49110704787234044
tensopolis/qwen2.5-3b-or1-tensopolis,0.35400958346077294,0.44214988544006467,0.1729607250755287,0.29446308724832215,0.37492708333333336,0.3197307180851064
tensopolis/qwen2.5-7b-tensopolis-v1,0.7660939640154789,0.5378740884658956,0.4561933534743202,0.2961409395973154,0.433875,0.42686170212765956
tensopolis/qwen2.5-7b-tensopolis-v2,0.752105524,0.5414622323974015,0.4818731117824773,0.2902684563758389,0.42463541666666665,0.42428523936170215
tensopolis/virtuoso-lite-tensopolis-v1,0.80691011,0.610185431,0.2545317220543807,0.3447986577181208,0.4582395833333333,0.4434840425531915
tensopolis/virtuoso-lite-tensopolis-v2,0.8029384255996312,0.6100187641793813,0.25,0.34312080536912754,0.4595416666666667,0.44398271276595747
tensopolis/virtuoso-small-tensopolis-v1,0.7856276900845313,0.6415395136436205,0.3527190332326284,0.32802013422818793,0.43263541666666666,0.4968417553191489
tensopolis/virtuoso-small-tensopolis-v2,0.8020142111818863,0.6515835977499008,0.38746223564954685,0.3288590604026846,0.43523958333333335,0.515375665
tensopolis/virtuoso-small-v2-tensopolis-v1,0.8419061423689145,0.6544753426578069,0.452416918,0.3464765100671141,0.45092708333333337,0.5175365691489362
tensoropera/Fox-1-1.6B,0.27659831469390106,0.3307369914593792,0.017371601208459216,0.2634228187919463,0.35498958333333336,0.1371343085106383
tenyx/Llama3-TenyxChat-70B,0.8087086707713311,0.6511486901811531,0.23564954682779457,0.3011744966442953,0.42603125000000003,0.5210272606382979
theo77186/Qwen2.5-Coder-7B-Instruct-20241106,0.6101477413263474,0.5007976986224548,0.38821752265861026,0.29194630872483224,0.4072708333333333,0.33527260638297873
theprint/Boptruth-Agatha-7B,0.312418826,0.4983936045348778,0.055135952,0.29949664429530204,0.42766666666666664,0.28607047872340424
theprint/CleverBoi-7B-v2,0.21699756645700075,0.45317253321634526,0.026435045317220542,0.28859060402684567,0.46953125,0.27086103723404253
theprint/CleverBoi-7B-v3,0.23823011830831084,0.4414430902840938,0.040030211,0.26593959731543626,0.4071770833333333,0.28681848404255317
